"trial_index","angle","stimulus_time","response_time","reaction_time","response","correct_response","correct","time_from_start","rt_bin","angle_category","angle_deviation","phase"
341,89.2,483048,484143,1093,"f","f",TRUE,484143,5,"Less than 90°",0.799999999999997,"Middle"
346,90.6,490195,490373,175,"j","j",TRUE,490373,1,"Greater than 90°",0.599999999999994,"Middle"
353,89.8,499906,500238,329," ","f",FALSE,500238,2,"Less than 90°",0.200000000000003,"Middle"
358,89.4,506268,506304,33,"f","f",TRUE,506304,1,"Less than 90°",0.599999999999994,"Middle"
363,91,512354,512596,239,"j","j",TRUE,512596,1,"Greater than 90°",1,"Middle"
368,90,518628,519326,695,"j"," ",FALSE,519326,3,"Equal to 90°",0,"Middle"
373,89.6,525382,526780,1396,"f","f",TRUE,526780,6,"Less than 90°",0.400000000000006,"Middle"
378,90.6,532808,532992,181,"j","j",TRUE,532992,1,"Greater than 90°",0.599999999999994,"Middle"
383,90.8,539047,539488,439,"j","j",TRUE,539488,2,"Greater than 90°",0.799999999999997,"Middle"
388,89,545538,546161,621,"f","f",TRUE,546161,3,"Less than 90°",1,"Late"
393,89.2,552216,552345,127,"f","f",TRUE,552345,1,"Less than 90°",0.799999999999997,"Late"
398,90.4,558392,558808,415," ","j",FALSE,558808,2,"Greater than 90°",0.400000000000006,"Late"
403,90.2,564863,564938,71,"f","j",FALSE,564938,1,"Greater than 90°",0.200000000000003,"Late"
410,89.8,574462,575922,1457,"f","f",TRUE,575922,6,"Less than 90°",0.200000000000003,"Late"
415,90,581951,582749,796,"f"," ",FALSE,582749,4,"Equal to 90°",0,"Late"
420,89,588779,588989,208,"f","f",TRUE,588989,1,"Less than 90°",1,"Late"
425,89.2,595018,595060,39,"f","f",TRUE,595060,1,"Less than 90°",0.799999999999997,"Late"
430,90.4,601087,601253,164," ","j",FALSE,601253,1,"Greater than 90°",0.400000000000006,"Late"
435,90.2,607282,610083,2799,"j","j",TRUE,610083,12,"Greater than 90°",0.200000000000003,"Late"
440,90.6,616111,617251,1138,"j","j",TRUE,617251,5,"Greater than 90°",0.599999999999994,"Late"
445,90.8,623283,626166,2880,"j","j",TRUE,626166,12,"Greater than 90°",0.799999999999997,"Late"
450,89.6,632219,635898,3676,"f","f",TRUE,635898,15,"Less than 90°",0.400000000000006,"Late"
455,91,641950,642530,577,"j","j",TRUE,642530,3,"Greater than 90°",1,"Late"
460,89.4,648578,652951,4371,"f","f",TRUE,652951,18,"Less than 90°",0.599999999999994,"Late"
467,89.4,686177,686763,584,"f","f",TRUE,686763,3,"Less than 90°",0.599999999999994,"Late"
472,89.6,692792,694493,1699,"f","f",TRUE,694493,7,"Less than 90°",0.400000000000006,"Late"
477,89.2,700550,701435,884,"f","f",TRUE,701435,4,"Less than 90°",0.799999999999997,"Late"
482,90.4,707486,709096,1608," ","j",FALSE,709096,7,"Greater than 90°",0.400000000000006,"Late"
487,90.2,715147,715444,295,"j","j",TRUE,715444,2,"Greater than 90°",0.200000000000003,"Late"
492,89.8,721499,722647,1146,"j","f",FALSE,722647,5,"Less than 90°",0.200000000000003,"Late"
497,90,728674,729602,926,"j"," ",FALSE,729602,4,"Equal to 90°",0,"Late"
502,90.8,735661,735850,186,"j","j",TRUE,735850,1,"Greater than 90°",0.799999999999997,"Late"
507,90.6,741908,742249,338,"j","j",TRUE,742249,2,"Greater than 90°",0.599999999999994,"Late"
512,91,748309,748542,231,"j","j",TRUE,748542,1,"Greater than 90°",1,"Late"
